Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
br.ufc.great.sysadmin.service.LikesService;17.0;0.0;12.0;2.0;3.0;2.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;2.0;2.0;11.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
br.ufc.great.sysadmin.service.PersonService;28.0;0.0;12.0;2.0;5.0;3.0;0.0;0.0;0.0;1.0;0.0;3.0;2.0;3.0;4.0;11.0;6.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
br.ufc.great.sysadmin.model.Post;114.0;0.0;21.0;2.0;25.0;13.0;181.0;0.91;0.9578947368421052;10.0;0.0;20.0;20.0;11.0;8.0;18.0;33.0;13.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
br.ufc.great.sysadmin.controller.PersonController;565.0;0.0;38.0;1.0;63.0;25.0;122.0;0.7552083333333334;0.7880434782608695;8.0;0.0;24.0;23.0;228.0;1.0;34.0;49.0;53.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
br.ufc.great.sysadmin.service.AbstractService;38.0;7.0;17.0;1.0;16.0;5.0;28.0;0.875;1.0;1.0;0.0;8.0;7.0;18.0;13.0;15.0;13.0;5.0;1.0;1.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
br.ufc.great.sysadmin.controller.FileUploadController;322.0;0.0;46.0;1.0;63.0;27.0;92.0;0.8266666666666667;0.8857142857142858;5.0;0.0;15.0;14.0;119.0;1.0;45.0;42.0;62.0;5.0;8.0;6.0;0.0;12.0;0.0;4.0;2.0;1.0;1.0;2.0;1.0;5.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
br.ufc.great.sysadmin.security.WebSecurityConfig;53.0;0.0;17.0;2.0;29.0;0.0;1.0;0.5;1.0;1.0;0.0;2.0;1.0;55.0;1.0;17.0;2.0;42.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
br.ufc.great.sysadmin.controller.MyErrorController;47.0;0.0;20.0;1.0;14.0;10.0;1.0;0.5;1.0;2.0;0.0;2.0;2.0;17.0;1.0;20.0;12.0;34.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
br.ufc.great.sysadmin.service.PostService;17.0;0.0;12.0;2.0;3.0;2.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;2.0;3.0;11.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
br.ufc.great.sysadmin.service.PictureService;11.0;0.0;12.0;2.0;3.0;2.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;2.0;4.0;11.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
