Rule Id;Violation Kind;Violating Unit;Violation Label;First Unit;Second Unit
AER04;CALL;br.ufc.great.sysadmin.controller.PersonController;getAcesso();br.ufc.great.sysadmin.util.MySessionInfo;none
AER04;CALL;br.ufc.great.sysadmin.controller.PersonController;equals(java.lang.Object);java.lang.String;none
AER04;CALL;br.ufc.great.sysadmin.controller.PersonController;update(br.ufc.great.sysadmin.model.AbstractModel);br.ufc.great.sysadmin.service.AbstractService;none
AER04;CALL;br.ufc.great.sysadmin.controller.PersonController;get(java.io.Serializable);br.ufc.great.sysadmin.service.AbstractService;none
AER04;CALL;br.ufc.great.sysadmin.controller.PersonController;addComment(br.ufc.great.sysadmin.model.Comment,br.ufc.great.sysadmin.model.Person);br.ufc.great.sysadmin.model.Person;none
AER04;CALL;br.ufc.great.sysadmin.controller.PersonController;getLikes();br.ufc.great.sysadmin.model.Person;none
AER04;CALL;br.ufc.great.sysadmin.controller.PersonController;getUsername();br.ufc.great.sysadmin.model.Users;none
AER04;CALL;br.ufc.great.sysadmin.controller.PersonController;checkUser();br.ufc.great.sysadmin.controller.PersonController;none
AER04;CALL;br.ufc.great.sysadmin.controller.PersonController;getEmail();br.ufc.great.sysadmin.model.Users;none
AER04;CALL;br.ufc.great.sysadmin.controller.PersonController;get(java.io.Serializable);br.ufc.great.sysadmin.service.AbstractService;none
AER04;CALL;br.ufc.great.sysadmin.controller.PersonController;getId();br.ufc.great.sysadmin.model.AbstractModel;none
AER04;CALL;br.ufc.great.sysadmin.controller.FileUploadController;getDefault();java.nio.file.FileSystems;none
AER04;CALL;br.ufc.great.sysadmin.controller.FileUploadController;readAllBytes(java.nio.file.Path);java.nio.file.Files;none
AER04;CALL;br.ufc.great.sysadmin.controller.FileUploadController;getSeparator();java.nio.file.FileSystem;none
AER04;CALL;br.ufc.great.sysadmin.controller.FileUploadController;toPath();java.io.File;none
AER04;CALL;br.ufc.great.sysadmin.controller.MyErrorController;valueOf(java.lang.String);java.lang.Integer;none
AER04;CALL;br.ufc.great.sysadmin.controller.MyErrorController;getUsername();br.ufc.great.sysadmin.model.Users;none
AER04;CALL;br.ufc.great.sysadmin.controller.MyErrorController;getCurrentUser();br.ufc.great.sysadmin.util.MySessionInfo;none
AER04;CALL;br.ufc.great.sysadmin.controller.MyErrorController;getAcesso();br.ufc.great.sysadmin.util.MySessionInfo;none
AER04;CALL;br.ufc.great.sysadmin.controller.MyErrorController;getEmail();br.ufc.great.sysadmin.model.Users;none
AER04;CALL;br.ufc.great.sysadmin.controller.MyErrorController;toString();java.lang.Object;none
AER04;CALL;br.ufc.great.sysadmin.controller.MyErrorController;getId();br.ufc.great.sysadmin.model.AbstractModel;none
AER04;CALL;br.ufc.great.sysadmin.controller.AccessControlController;save(br.ufc.great.sysadmin.model.AbstractModel);br.ufc.great.sysadmin.service.AbstractService;none
AER04;CALL;br.ufc.great.sysadmin.controller.PersonController;getUsername();br.ufc.great.sysadmin.model.Users;none
AER04;CALL;br.ufc.great.sysadmin.controller.PersonController;checkUser();br.ufc.great.sysadmin.controller.PersonController;none
AER04;CALL;br.ufc.great.sysadmin.controller.PersonController;getEmail();br.ufc.great.sysadmin.model.Users;none
AER04;CALL;br.ufc.great.sysadmin.controller.PersonController;getAll();br.ufc.great.sysadmin.service.AbstractService;none
AER04;CALL;br.ufc.great.sysadmin.controller.PersonController;getId();br.ufc.great.sysadmin.model.AbstractModel;none
AER04;CALL;br.ufc.great.sysadmin.controller.UserController;getPerson();br.ufc.great.sysadmin.model.Users;none
AER04;CALL;br.ufc.great.sysadmin.controller.UserController;setPerson(br.ufc.great.sysadmin.model.Person);br.ufc.great.sysadmin.model.Users;none
AER04;CALL;br.ufc.great.sysadmin.controller.UserController;criptografa(java.lang.String);br.ufc.great.sysadmin.util.GeradorSenha;none
AER04;CALL;br.ufc.great.sysadmin.controller.UserController;comparaSenhas(java.lang.String,java.lang.String);br.ufc.great.sysadmin.util.GeradorSenha;none
AER04;CALL;br.ufc.great.sysadmin.controller.UserController;get(java.io.Serializable);br.ufc.great.sysadmin.service.AbstractService;none
