Unit;CPT01;CPT02;CPT03;CPT04;CPT05;CPT06;CPT07;
br.ufc.great.sysadmin.MvcConfig;;;;;;;;
br.ufc.great.sysadmin.SystemApplication;;;;;;;;
br.ufc.great.sysadmin.controller.AccessControlController;;X;;;;;;
br.ufc.great.sysadmin.controller.DashboardController;;X;;;;;;
br.ufc.great.sysadmin.controller.FileUploadController;;X;;;;;;
br.ufc.great.sysadmin.controller.MyErrorController;;X;;;;;;
br.ufc.great.sysadmin.controller.PersonController;;X;;;;;;
br.ufc.great.sysadmin.controller.UserController;;X;;;;;;
br.ufc.great.sysadmin.domain.model.AbstractModel;;;;;;;;
br.ufc.great.sysadmin.domain.model.Comment;;;;;;;;
br.ufc.great.sysadmin.domain.model.Likes;;;;;;;;
br.ufc.great.sysadmin.domain.model.Person;;;;;;;;
br.ufc.great.sysadmin.domain.model.Picture;;;;;;;;
br.ufc.great.sysadmin.domain.model.Post;;;;;;;;
br.ufc.great.sysadmin.domain.model.Role;;;;;;;;
br.ufc.great.sysadmin.domain.model.Users;;;;;;;;
br.ufc.great.sysadmin.domain.repository.IAuthoritiesRepository;;;;;;;;
br.ufc.great.sysadmin.domain.repository.ICommentRepository;;;;;;;;
br.ufc.great.sysadmin.domain.repository.ILikesRepository;;;;;;;;
br.ufc.great.sysadmin.domain.repository.IPersonRepository;;;;;;;;
br.ufc.great.sysadmin.domain.repository.IPictureRepository;;;;;;;;
br.ufc.great.sysadmin.domain.repository.IPostRepository;;;;;;;;
br.ufc.great.sysadmin.domain.repository.IUsersRepository;;;;;;;;
br.ufc.great.sysadmin.security.WebSecurityConfig;;;;;;;X;
br.ufc.great.sysadmin.service.AbstractService;;;;;;;;
br.ufc.great.sysadmin.service.AuthoritiesService;;;;;;;;
br.ufc.great.sysadmin.service.CommentService;;;;;;;;
br.ufc.great.sysadmin.service.LikesService;;;;;;;;
br.ufc.great.sysadmin.service.PersonService;;;;;;;;
br.ufc.great.sysadmin.service.PictureService;;;;;;;;
br.ufc.great.sysadmin.service.PostService;;;;;;;;
br.ufc.great.sysadmin.service.UsersService;;;;;;;;
br.ufc.great.sysadmin.util.Constantes;;;;;;;;
br.ufc.great.sysadmin.util.GeradorQRCode;;;;;;;;
br.ufc.great.sysadmin.util.GeradorSenha;;;;;;;;
br.ufc.great.sysadmin.util.ManipuladorDatas;;;;;;;;
br.ufc.great.sysadmin.util.MySessionInfo;;;;;;;;
br.ufc.great.sysadmin.util.monitoring.ActiveUserStore;;;;;;;;
